id,origem,cpf,nome_civil,nome_eleitoral,cargo_atual,uf,partido,email,foto_url
ALEPI-287,alepi,,Firmino Soares Paulo,Firmino Paulo,DEPUTADO ESTADUAL,PI,PT,firminopaulo@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/287/firmino-paulo-24.jpg
ALEPI-13,alepi,,Flavio Rodrigues Nogueira Junior,Flávio Júnior,DEPUTADO ESTADUAL,PI,PT,flaviojunior@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/13/flavio-jr.jpg
ALEPI-283,alepi,,Francisco das Chagas Limma,Francisco Limma,DEPUTADO ESTADUAL,PI,PT,limma@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/283/francisco_lima-24.jpg
ALEPI-312,alepi,,Francisco José Alves da Silva,Franzé Silva,DEPUTADO ESTADUAL,PI,PT,franzesilva@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/312/franze-silva_Qho7Pdh.jpg
ALEPI-281,alepi,,Georgiano Fernandes Lima Neto,Georgiano Neto,DEPUTADO ESTADUAL,PI,MDB,georgianoneto@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/281/georgiano-24.jpg
ALEPI-32,alepi,,Gessivaldo Isaías de Carvalho Silva,Gessivaldo Isaías,DEPUTADO ESTADUAL,PI,REPUBLICANOS,pastorgessivaldo@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/32/gessivaldo-isaias-24.jpg
ALEPI-328,alepi,,Maria das Graças de Moraes Souza Nunes,Gracinha Mão Santa,DEPUTADO ESTADUAL,PI,PP,depgracinhamaosanta@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/328/gracinha-24.jpg
ALEPI-15,alepi,,Gustavo Neiva Sousa,Gustavo Neiva,DEPUTADO ESTADUAL,PI,PP,gustavoneiva@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/15/gustavo_neiva-24.jpg
ALEPI-18,alepi,,Hélio Isaias da Silva,Hélio Isaías,DEPUTADO ESTADUAL,PI,PT,helioisaias@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/18/helio-isaias-24.jpg
ALEPI-334,alepi,,Hélio Rodrigues Alves,Hélio Rodrigues,DEPUTADO ESTADUAL,PI,,depheliorodrigues@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/334/helio_rodrigues-24.jpg
ALEPI-313,alepi,,Antonio Henrique de Carvalho Pires,Henrique Pires,DEPUTADO ESTADUAL,PI,MDB,henriquepires@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/313/henrique_pires-24.jpg
ALEPI-20,alepi,,João Mádison Nogueira,João Mádison,DEPUTADO ESTADUAL,PI,MDB,joaomadison@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/20/joao_madison-24.jpg
ALEPI-25,alepi,,Marden Luis Brito Cavalcante e Menezes,Marden Menezes,DEPUTADO ESTADUAL,PI,PSD,mardenmenezes@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/25/marden-menezes-26.jpg
ALEPI-259,alepi,,Mauro Expedito Reis Tapety,Mauro Tapety,DEPUTADO ESTADUAL,PI,,,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/259/259_foto_parlamentar.jpeg
ALEPI-260,alepi,,Jose Roncalli Costa Paulo,Roncalli Paulo,DEPUTADO ESTADUAL,PI,,,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/260/260_foto_parlamentar.jpeg
ALEPI-330,alepi,,Rubens de Sousa Vieira,Rubens Vieira,DEPUTADO ESTADUAL,PI,PT,rubensvieira@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/330/rubens0-vieira-24.jpg
ALEPI-278,alepi,,Severo Maria Eulálio Neto,Severo Eulálio,DEPUTADO ESTADUAL,PI,MDB,severoeulalio@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/278/severo-24.jpg
ALEPI-254,alepi,,Silas Freire Pereira da Silva,Silas Freire,DEPUTADO ESTADUAL,PI,,,
ALEPI-333,alepi,,Simone Pereira de Farias Araujo,Simone Pereira,DEPUTADO ESTADUAL,PI,MDB,deputadasimonepereira@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/333/simone_pereira-24.jpg
ALEPI-37,alepi,,Wilson Nunes Brandão,Wilson  Brandão,DEPUTADO ESTADUAL,PI,PP,wbrandao@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/37/wilson-brandao-24.jpg
